phase,condition,label,control_mode,replan_steps,overlap_steps,overlap_ratio,low_pass_alpha,async_fallback,env_name,episodes,successes,success_rate,latency_mean_s,latency_p95_s,latency_max_s,action_delta_l2_mean,action_jerk_l2_mean,oscillation_sign_flip_rate,queue_underruns,queue_wait_s,async_replan_delays,summary_path
explore_lpf_alpha_v5,overlap_stride8_lpf07,overlap_stride8_lpf,overlap,8,24,0.75,0.7,wait,bimanual_microwave_cook,10,3,0.3,0.9312727320270296,1.203629637537524,,0.16600934372100895,0.24245446518106473,0.5381123835358969,43.1,12.983300839178264,476.0,ORIGINAL_RESULT_ROOT/explore_lpf_alpha_v5/overlap_stride8_lpf07/summary.json
explore_stride8_controls_v5,overlap_stride8,overlap_stride8,overlap,8,24,0.75,,wait,bimanual_microwave_cook,10,4,0.4,0.9492839368769428,1.1015956875309347,,0.2338685215551335,0.39254052790972266,0.6444524386729819,46.6,14.255447334051132,476.3,ORIGINAL_RESULT_ROOT/explore_stride8_controls_v5/overlap_stride8/summary.json
explore_stride8_controls_v5,overlap_stride8_lpf03,overlap_stride8_lpf,overlap,8,24,0.75,0.3,wait,bimanual_microwave_cook,10,2,0.2,0.9494542372050244,1.0954080436006188,,0.08352858660378917,0.08266973905585542,0.3923052523832461,52.3,15.81744744759053,514.7,ORIGINAL_RESULT_ROOT/explore_stride8_controls_v5/overlap_stride8_lpf03/summary.json
phase0_smoke_blocking_v5,phase0_blocking_stride24,blocking_stride24,blocking,24,8,0.25,,wait,bimanual_microwave_cook,1,0,0.0,0.9064447344483241,1.0586976357735693,,0.20396430748391955,0.3458019811083276,0.6469906334044329,0.0,0.0,0.0,ORIGINAL_RESULT_ROOT/phase0_smoke_blocking_v5/phase0_blocking_stride24/summary.json
phase1_minimal_batchA_v5,overlap_stride24,overlap_stride24,overlap,24,8,0.25,,wait,bimanual_microwave_cook,5,0,0.0,0.9953674651763361,1.0990795935504138,,0.21720453129099973,0.3657265595643898,0.6492949710007884,46.0,18.40230756960809,0.0,ORIGINAL_RESULT_ROOT/phase1_minimal_batchA_v5/overlap_stride24/summary.json
phase1_minimal_batchA_v5,sync_default25,blocking_stride25,blocking,25,7,0.21875,,wait,bimanual_microwave_cook,5,0,0.0,0.9285089366222646,1.0939812878891826,,0.2186990234529679,0.3694882304154893,0.6518286232517089,0.0,0.0,0.0,ORIGINAL_RESULT_ROOT/phase1_minimal_batchA_v5/sync_default25/summary.json
phase1_minimal_batchA_v5,sync_stride24,blocking_stride24,blocking,24,8,0.25,,wait,bimanual_microwave_cook,5,1,0.2,1.0058807366460756,1.125769191160798,,0.19795588398181993,0.3307240420472465,0.6498821703861413,0.0,0.0,0.0,ORIGINAL_RESULT_ROOT/phase1_minimal_batchA_v5/sync_stride24/summary.json
phase1_minimal_batchA_v5,sync_stride24_lpf,blocking_stride24_lpf,blocking,24,8,0.25,0.5,wait,bimanual_microwave_cook,5,1,0.2,0.9862040519471401,1.0904295392334462,,0.10653352507601717,0.13812060162267914,0.4954759756206356,0.0,0.0,0.0,ORIGINAL_RESULT_ROOT/phase1_minimal_batchA_v5/sync_stride24_lpf/summary.json
phase1_minimal_batchB_v5,overlap_stride24_lpf,overlap_stride24_lpf,overlap,24,8,0.25,0.5,wait,bimanual_microwave_cook,5,1,0.2,0.9838786305942644,1.1273005484603345,,0.10033735415692277,0.13417596568269322,0.49898378608546734,45.0,20.357669361680745,0.0,ORIGINAL_RESULT_ROOT/phase1_minimal_batchB_v5/overlap_stride24_lpf/summary.json
phase2_stride_supplement_v5,overlap_stride16_lpf,overlap_stride16_lpf,overlap,16,16,0.5,0.5,wait,bimanual_microwave_cook,5,1,0.2,0.9929635278681472,1.1384687500074506,,0.11618799184932727,0.14993787673902365,0.4874441853672833,20.4,2.664476666599512,12.4,ORIGINAL_RESULT_ROOT/phase2_stride_supplement_v5/overlap_stride16_lpf/summary.json
