variant,ckpt_step,protocol,n,success_at_600,success_at_1000,success_at_1500_final,median_success_step,artifact
baseline_success_only,6650,replan24,50,34/50 = 68%,36/50 = 72%,36/50 = 72%,239.5,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/hammer_nail_baseline_step_006650_seed0_50ep_retry6_2026-07-01_19-05-07
failure_embedding,3500,"replan25, env1500",50,19/50 = 38%,21/50 = 42%,21/50 = 42%,380,
failure_embedding,4000,"replan25, env1500",50,15/50 = 30%,21/50 = 42%,21/50 = 42%,331,
failure_embedding,4500,"replan25, env1500",50,15/50 = 30%,23/50 = 46%,23/50 = 46%,353,
failure_embedding,5000,replan24,50,24/50 = 48%,27/50 = 54%,27/50 = 54%,363,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/hammer_nail_failure_embedding_step_5000_seed0_50ep_residual_2026-07-02_08-43-53
failure_embedding,5500,replan24,50,29/50 = 58%,34/50 = 68%,34/50 = 68%,322.5,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/hammer_nail_failure_embedding_step_5500_seed0_50ep_residual_2026-07-02_08-29-08
failure_embedding,6000,replan24,50,28/50 = 56%,32/50 = 64%,32/50 = 64%,374.5,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/hammer_nail_failure_embedding_step_6000_seed0_50ep_retry_residual_2026-07-02_08-12-52
text_failure,4000,"replan25, env1500",50,21/50 = 42%,27/50 = 54%,27/50 = 54%,352,
text_failure,4500,"replan25, env1500",50,18/50 = 36%,19/50 = 38%,19/50 = 38%,252,
text_failure,5000,"replan25, env1500",50,22/50 = 44%,23/50 = 46%,23/50 = 46%,278,
text_failure,6000,"replan25, env1500",50,28/50 = 56%,31/50 = 62%,31/50 = 62%,315,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/hammer_nail_text_failure_step_6000_seed0_50ep_2026-07-02_1111_hammer_text_failure_6000_g4567_replan25_env1500
text_failure,6000,"replan25, env600",50,18/50 = 36%,-,-,219,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/hammer_nail_text_failure_step_006000_seed0_50ep_env600_replan25_20260703_0010
