variant,ckpt_step,protocol,n,success_at_600,median_success_step,summary_path
text_failure,6500,"replan25, 600step",100,38/100 = 38%,263.5,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/multigpu_BC_20260630_235500/B_mid_006500_seed0_100_merged_600step/summary.json
text_failure,7000,"replan25, 600step",50,25/50 = 50%,267,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/text_concat_7k12k_coarse50_multigpu_g0123_20260701_1350/concat_step_007000_seed0_50_600step/summary.json
text_failure,8000,"replan25, 600step",50,35/50 = 70%,255,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/text_concat_7k12k_coarse50_multigpu_g0123_20260701_1350/concat_step_008000_seed0_50_600step/summary.json
text_failure,9000,"replan25, 600step",50,35/50 = 70%,278,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/text_concat_7k12k_coarse50_multigpu_g0123_20260701_1350/concat_step_009000_seed0_50_600step/summary.json
text_failure,10000,"replan25, 600step",50,37/50 = 74%,270,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/text_concat_7k12k_coarse50_multigpu_g0123_20260701_1350/concat_step_010000_seed0_50_600step/summary.json
text_failure,11000,"replan25, 600step",100,81/100 = 81%,264,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/multigpu_BC_20260630_235500/B_best_011000_seed0_100_merged_600step/summary.json
text_failure,12000,"replan25, 600step",50,40/50 = 80%,272,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/text_concat_7k12k_coarse50_multigpu_g0123_20260701_1350/concat_step_012000_seed0_50_600step/summary.json
text_failure,12240,"replan25, 600step",100,82/100 = 82%,261,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/multigpu_BC_20260630_235500/B_final_12240_seed0_100_merged_600step/summary.json
structured_failure,1000,"replan25, 600step",50,1/50 = 2%,298,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/structure_up_coarse50_multigpu_g0123_20260701_1018/C_step_001000_seed0_50_600step/summary.json
structured_failure,2000,"replan25, 600step",50,4/50 = 8%,250,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/structure_up_coarse50_multigpu_g0123_20260701_1018/C_step_002000_seed0_50_600step/summary.json
structured_failure,3000,"replan25, 600step",50,5/50 = 10%,300,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/structure_up_coarse50_multigpu_g0123_20260701_1018/C_step_003000_seed0_50_600step/summary.json
structured_failure,4000,"replan25, 600step",50,40/50 = 80%,279.5,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/structure_up_coarse50_multigpu_g0123_20260701_1018/C_step_004000_seed0_50_600step/summary.json
structured_failure,5000,"replan25, 600step",50,19/50 = 38%,261,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/structure_up_coarse50_multigpu_g0123_20260701_1018/C_step_005000_seed0_50_600step/summary.json
structured_failure,6000,"replan25, 600step",50,41/50 = 82%,253,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/structure_up_coarse50_multigpu_g0123_20260701_1018/C_step_006000_seed0_50_600step/summary.json
structured_failure,6500,"replan25, 600step",100,74/100 = 74%,265,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/multigpu_BC_20260630_235500/C_mid_006500_seed0_100_600step/summary.json
structured_failure,11500,"replan25, 600step",100,59/100 = 59%,257,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/multigpu_BC_20260630_235500/C_best_011500_seed0_100_600step/summary.json
structured_failure,12240,"replan25, 600step",100,4/100 = 4%,525,/data_all/zhaoyc/Summer2/FastWAM_zhaoyc_failure_moved_from_share_20260703/artifacts/evals/multigpu_BC_20260630_235500/C_final_12240_seed0_100_600step/summary.json
