variant,checkpoint_kind,checkpoint_step,episodes,successes,success_rate,wilson_ci95_low,wilson_ci95_high,median_success_step,success_at_600,success_at_1000,success_at_1500
B0,step,5000,200,164,0.820,0.760885,0.867054,268.0,164,164,164
B1,step,5000,200,168,0.840,0.782859,0.884326,270.0,167,168,168
C,step,5000,200,149,0.745,0.680371,0.800395,258.0,149,149,149
M,step,5000,200,176,0.880,0.827657,0.918020,274.5,176,176,176
B0,step,6000,200,141,0.705,0.638413,0.763861,274.0,141,141,141
B1,step,6000,200,151,0.755,0.690958,0.809431,264.0,151,151,151
C,step,6000,200,151,0.755,0.690958,0.809431,263.0,151,151,151
M,step,6000,200,169,0.845,0.788393,0.888604,269.0,168,169,169
B0,step,6500,200,159,0.795,0.733743,0.845138,267.0,159,159,159
B1,step,6500,200,174,0.870,0.816336,0.909718,256.0,174,174,174
C,step,6500,200,149,0.745,0.680371,0.800395,254.0,149,149,149
M,step,6500,200,175,0.875,0.821986,0.913880,258.0,175,175,175
B0,validation_best,5500,200,145,0.725,0.659317,0.782203,264.0,145,145,145
B1,validation_best,4500,200,161,0.805,0.744560,0.853945,258.0,161,161,161
C,validation_best,6500,200,149,0.745,0.680371,0.800395,254.0,149,149,149
M,validation_best,5000,200,176,0.880,0.827657,0.918020,274.5,176,176,176
